iter	Passed	Remaining
1495	7792	28668
1496	7797	28663
1497	7802	28659
1498	7809	28657
1499	7815	28656
1500	7822	28658
1501	7829	28658
1502	7835	28658
1503	7842	28657
1504	7848	28657
1505	7855	28657
1506	7862	28657
1507	7868	28657
1508	7873	28651
1509	7880	28652
1510	7887	28652
1511	7893	28649
1512	7899	28648
1513	7906	28647
1514	7912	28647
1515	7919	28647
1516	7924	28640
1517	7930	28640
1518	7937	28640
1519	7943	28637
1520	7949	28636
1521	7955	28632
1522	7961	28630
1523	7967	28630
1524	7974	28628
1525	7980	28625
1526	7986	28626
1527	7993	28626
1528	7999	28624
1529	8005	28620
1530	8011	28617
1531	8017	28614
1532	8024	28615
1533	8030	28616
1534	8037	28614
1535	8043	28614
1536	8050	28613
1537	8056	28611
1538	8062	28610
1539	8067	28603
1540	8073	28601
1541	8080	28600
1542	8086	28598
1543	8092	28596
1544	8098	28594
1545	8104	28591
1546	8109	28585
1547	8115	28583
1548	8121	28579
1549	8126	28572
1550	8132	28570
1551	8137	28565
1552	8142	28559
1553	8148	28557
1554	8153	28551
1555	8158	28544
1556	8164	28542
1557	8169	28536
1558	8174	28529
1559	8181	28529
1560	8186	28523
1561	8190	28516
1562	8197	28514
1563	8202	28509
1564	8207	28501
1565	8213	28499
1566	8218	28494
1567	8225	28496
1568	8232	28494
1569	8238	28492
1570	8244	28490
1571	8251	28491
1572	8257	28490
1573	8264	28488
1574	8270	28487
1575	8276	28485
1576	8283	28483
1577	8288	28479
1578	8294	28477
1579	8300	28473
1580	8305	28466
1581	8311	28464
1582	8316	28458
1583	8320	28450
1584	8327	28449
1585	8332	28444
1586	8337	28437
1587	8343	28433
1588	8348	28429
1589	8353	28422
1590	8360	28422
1591	8365	28416
1592	8369	28409
1593	8376	28407
1594	8381	28401
1595	8385	28394
1596	8392	28392
1597	8397	28387
1598	8402	28380
1599	8408	28377
1600	8413	28372
1601	8419	28370
1602	8426	28370
1603	8432	28368
1604	8439	28366
1605	8445	28365
1606	8452	28364
1607	8458	28363
1608	8465	28362
1609	8471	28360
1610	8476	28354
1611	8482	28353
1612	8488	28349
1613	8493	28344
1614	8498	28337
1615	8503	28331
1616	8509	28328
1617	8514	28321
1618	8520	28318
1619	8526	28317
1620	8531	28310
1621	8537	28308
1622	8543	28303
1623	8547	28296
1624	8554	28294
1625	8559	28288
1626	8563	28281
1627	8570	28278
1628	8575	28274
1629	8580	28267
1630	8586	28264
1631	8591	28260
1632	8596	28254
1633	8602	28251
1634	8608	28246
1635	8613	28240
1636	8619	28237
1637	8626	28238
1638	8632	28237
1639	8639	28235
1640	8645	28233
1641	8651	28232
1642	8658	28231
1643	8665	28230
1644	8669	28223
1645	8676	28221
1646	8682	28220
1647	8688	28217
1648	8694	28215
1649	8699	28207
1650	8704	28200
1651	8708	28192
1652	8714	28187
1653	8720	28185
1654	8724	28178
1655	8730	28172
1656	8736	28172
1657	8741	28166
1658	8746	28158
1659	8751	28151
1660	8755	28143
1661	8760	28136
1662	8766	28135
1663	8772	28130
1664	8776	28123
1665	8781	28115
1666	8786	28110
1667	8791	28103
1668	8796	28095
1669	8800	28088
1670	8805	28081
1671	8809	28073
1672	8814	28065
1673	8818	28057
1674	8823	28050
1675	8830	28050
1676	8836	28049
1677	8842	28046
1678	8849	28044
1679	8856	28044
